student_id,group_id,assignment_type,commit_consistency,code_share,review_participation,attendance_ratio,speaking_participation_ratio,chat_participation_ratio,docs_contribution_share,comment_activity,benchmark_score
S053,G014,research_report,0.5607,0.2669,0.5634,0.7941,0.4846,0.7742,0.3627,0.1454,42.1
S054,G014,research_report,0.8003,0.4026,0.1243,0.9489,0.4133,0.4782,0.2067,0.6227,49.16
S055,G014,research_report,0.4659,0.2322,0.462,0.9181,0.5133,0.4492,0.1474,0.6695,48.11
S056,G014,research_report,0.6896,0.0984,0.4121,0.7147,0.5097,0.7677,0.2833,0.3792,43.64
S057,G015,research_report,0.5888,0.3355,0.6155,0.9254,0.4901,0.6423,0.2868,0.4357,49.19
S058,G015,research_report,0.849,0.3886,0.6374,0.7093,0.362,0.4421,0.4439,0.4745,51.02
S059,G015,research_report,0.7991,0.197,0.3353,0.6104,0.472,0.6794,0.1071,0.5661,41.3
S060,G015,research_report,0.6955,0.079,0.2607,0.7022,0.526,0.6951,0.1623,0.2638,35.91
S061,G016,research_report,0.9209,0.1127,0.5267,0.9937,0.7043,0.4578,0.0725,0.6167,49.63
S062,G016,research_report,0.6278,0.461,0.5258,0.8188,0.4705,0.4996,0.4549,0.6329,57.03
S063,G016,research_report,0.6067,0.0819,0.6146,0.8987,0.492,0.441,0.0923,0.485,42.02
S064,G016,research_report,0.6274,0.3444,0.6062,0.91,0.5599,0.6006,0.3803,0.3129,49.37
S065,G017,research_report,0.5584,0.6799,0.6213,0.6269,0.6892,0.6154,0.1639,0.6394,49.57
S066,G017,research_report,0.9348,0.1617,0.6382,0.7218,0.2992,0.5096,0.2232,0.3189,39.71
S067,G017,research_report,0.5748,0.1049,0.3667,0.8557,0.4312,0.5001,0.1857,0.3378,38.9
S068,G017,research_report,0.6513,0.0535,0.6987,0.5874,0.6227,0.663,0.4272,0.6033,53.27
S069,G018,research_report,0.9618,0.1108,0.2064,0.8429,0.5279,0.4328,0.0599,0.3868,37.95
S070,G018,research_report,0.9498,0.3393,0.3958,0.7072,0.5188,0.5125,0.3485,0.4709,49.01
S071,G018,research_report,0.7339,0.2736,0.6639,0.5235,0.4842,0.6272,0.3359,0.5948,49.13
S072,G018,research_report,0.7901,0.2763,0.8637,0.8524,0.6978,0.5712,0.2557,0.3453,48.57
S073,G019,presentation,0.9822,0.3237,0.4997,0.8062,0.5681,0.3892,0.2383,0.6926,58.97
S074,G019,presentation,0.7974,0.1851,0.2752,0.6129,0.7138,0.4487,0.1103,0.4844,49.94
S075,G019,presentation,0.6628,0.0767,0.5123,0.8351,0.4416,0.8446,0.184,0.5676,57.03
S076,G019,presentation,0.8412,0.4145,0.5535,0.8317,0.4846,0.597,0.4674,0.4693,61.36
S077,G020,presentation,0.6229,0.3739,0.4904,0.9281,0.2595,0.3386,0.4565,0.4163,54.87
S078,G020,presentation,0.9049,0.3094,0.4671,0.9146,0.7868,0.6787,0.0613,0.6599,65.89
S079,G020,presentation,0.6166,0.0905,0.7941,0.8826,0.4682,0.3295,0.0936,0.4764,52.81
S080,G020,presentation,0.669,0.2261,0.4407,0.9247,0.5316,0.4289,0.3886,0.6628,61.8
S081,G021,presentation,0.1453,0.0131,0.1109,0.0475,0.1089,0.1427,0.0458,0.176,8.82
S082,G021,presentation,0.4983,0.5641,0.8067,0.9193,0.4156,0.4448,0.2586,0.4674,58.24
S083,G021,presentation,0.8477,0.1805,0.7117,0.8243,0.1639,0.6496,0.5543,0.4207,55.72
S084,G021,presentation,0.4793,0.2423,0.6304,0.8687,0.2559,0.5561,0.1412,0.359,49.21
S085,G022,presentation,0.686,0.2434,0.7491,0.6648,0.6143,0.3511,0.2418,0.4594,52.35
S086,G022,presentation,0.7752,0.2989,0.6663,0.9602,0.6268,0.5689,0.2036,0.6003,64.79
S087,G022,presentation,0.924,0.0795,0.5587,0.8116,0.557,0.6657,0.125,0.6187,58.02
S088,G022,presentation,0.748,0.3782,0.7336,0.7483,0.253,0.6625,0.4296,0.6925,56.8
S089,G023,presentation,0.6854,0.2382,0.4416,0.7656,0.8589,0.4798,0.219,0.6708,61.76
S090,G023,presentation,0.5819,0.3905,0.5294,0.6588,0.3975,0.7964,0.4628,0.4228,54.36
S091,G023,presentation,0.5296,0.3537,0.5037,0.9877,0.5526,0.6377,0.157,0.7397,63.75
S092,G023,presentation,0.6314,0.0177,0.6136,0.9181,0.5901,0.761,0.1612,0.4388,60.07
S093,G024,presentation,0.9536,0.1113,0.5287,0.7779,0.4399,0.1799,0.417,0.8123,56.28
S094,G024,presentation,0.743,0.2794,0.4739,0.7317,0.6689,0.5903,0.1608,0.4828,55.95
S095,G024,presentation,0.8938,0.4032,0.4734,0.8879,0.4897,0.4272,0.1485,0.4887,56.67
S096,G024,presentation,0.7867,0.2061,0.1906,0.9072,0.3578,0.2208,0.2737,0.8018,54.62
S097,G025,presentation,0.5889,0.4572,0.3216,0.7706,0.3249,0.4407,0.3844,0.5733,52.36
S098,G025,presentation,0.7888,0.4615,0.4543,0.9074,0.6664,0.6976,0.2339,0.5666,65.22
S099,G025,presentation,0.5908,0.0511,0.2078,0.8183,0.1084,0.2225,0.1316,0.2195,37.36
S100,G025,presentation,0.666,0.0302,0.4064,0.753,0.7525,0.5888,0.2501,0.423,57.02
